2010-11-06 11:58:56,065 | DEBUG  | Stat yezooz. car_weight, 1400=3.
2010-11-06 11:58:56,514 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:58:56,514 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:58:56,562 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:58:56,562 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:58:56,614 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:58:56,614 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:58:56,657 | DEBUG  | Stat yezooz. garage, cars_add=6.
2010-11-06 11:58:56,657 | DEBUG  | Stat yezooz. garage, cars_add=6.
2010-11-06 11:58:56,668 | DEBUG  | Stat yezooz. garage, cars=39.
2010-11-06 11:58:56,668 | DEBUG  | Stat yezooz. garage, cars=39.
2010-11-06 11:58:56,680 | DEBUG  | Stat yezooz. car_manuf, CitroÃ«n=1.
2010-11-06 11:58:56,680 | DEBUG  | Stat yezooz. car_manuf, CitroÃ«n=1.
2010-11-06 11:58:56,693 | DEBUG  | Stat yezooz. car_country, France=1.
2010-11-06 11:58:56,693 | DEBUG  | Stat yezooz. car_country, France=1.
2010-11-06 11:58:56,706 | DEBUG  | Stat yezooz. car_tier, 3=13.
2010-11-06 11:58:56,706 | DEBUG  | Stat yezooz. car_tier, 3=13.
2010-11-06 11:58:56,717 | DEBUG  | Stat yezooz. car_manuf, CitroÃ«n=2.
2010-11-06 11:58:56,717 | DEBUG  | Stat yezooz. car_manuf, CitroÃ«n=2.
2010-11-06 11:58:56,729 | DEBUG  | Stat yezooz. car_country, France=2.
2010-11-06 11:58:56,729 | DEBUG  | Stat yezooz. car_country, France=2.
2010-11-06 11:58:56,742 | DEBUG  | Stat yezooz. car_tier, 3=14.
2010-11-06 11:58:56,742 | DEBUG  | Stat yezooz. car_tier, 3=14.
2010-11-06 11:58:56,752 | DEBUG  | Stat yezooz. car_year, 1990=2.
2010-11-06 11:58:56,752 | DEBUG  | Stat yezooz. car_year, 1990=2.
2010-11-06 11:58:56,773 | DEBUG  | Stat yezooz. car_bhp, 135=1.
2010-11-06 11:58:56,773 | DEBUG  | Stat yezooz. car_bhp, 135=1.
2010-11-06 11:58:56,782 | DEBUG  | Stat yezooz. car_speed, 180=1.
2010-11-06 11:58:56,782 | DEBUG  | Stat yezooz. car_speed, 180=1.
2010-11-06 11:58:56,796 | DEBUG  | Stat yezooz. car_weight, 1300=2.
2010-11-06 11:58:56,796 | DEBUG  | Stat yezooz. car_weight, 1300=2.
2010-11-06 11:58:56,810 | DEBUG  | yezooz bought 3 cars
2010-11-06 11:58:56,810 | DEBUG  | yezooz bought 3 cars
2010-11-06 11:59:55,362 | INFO   | yezooz just spent 20 credit
2010-11-06 11:59:55,362 | INFO   | yezooz just spent 20 credit
2010-11-06 11:59:55,372 | DEBUG  | Stat yezooz. credit, spend=60.
2010-11-06 11:59:55,372 | DEBUG  | Stat yezooz. credit, spend=60.
2010-11-06 11:59:56,093 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:59:56,093 | DEBUG  | Could not draw any car for Prototype / yezooz
2010-11-06 11:59:56,141 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:59:56,141 | DEBUG  | Could not draw any car for Modified / yezooz
2010-11-06 11:59:56,189 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:59:56,189 | DEBUG  | Could not draw any car for Non-Playable / yezooz
2010-11-06 11:59:56,233 | DEBUG  | Stat yezooz. garage, cars_add=7.
2010-11-06 11:59:56,233 | DEBUG  | Stat yezooz. garage, cars_add=7.
2010-11-06 11:59:56,246 | DEBUG  | Stat yezooz. garage, cars=40.
